,CPU Name,Platform Name,Single-core Score,Multi-core Score,quarry
18433,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1934,8169,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18434,AMD Ryzen 7 5800H 4463 MHz (8 cores),Linux,2090,8039,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18435,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1557,7614,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18436,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1974,9451,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18437,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1462,5398,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18438,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1797,6118,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18439,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1796,5366,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18440,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1770,5382,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18441,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1664,6044,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18442,AMD Ryzen 7 5800H 4463 MHz (8 cores),Linux,1931,6134,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18443,AMD Ryzen 7 5800H 3201 MHz (8 cores),Windows,1674,4830,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18444,AMD Ryzen 7 5800H 4463 MHz (8 cores),Linux,1932,6076,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
18445,AMD Ryzen 7 5800H 4463 MHz (8 cores),Linux,1910,6201,https://browser.geekbench.com/search?q=Lenovo+AMD+Ryzen+7-5800H+
